Megachile albitarsis,Sabal etonia
Epicauta puncticollis,Eucephalus vialis
Megachile,Sesbania sesban
Lepidoptera,Rhus aromatica
Bees,Trillium flexipes
Coleoptera,Solidago missouriensis
Bees,Salvia leucophylla
Calliphoridae,Heracleum sphondylium ssp. montanum
Ceratina calcarata,Cypripedium parviflorum var. makasin
Osmia proxima,Galearis rotundifolia
Bees,Ericameria nauseosa
Megachile brevis,Desmodium paniculatum
Megachile,Thermopsis lanceolata
Augochlora pura,Triphora trianthophoros
Coleoptera,Diphylleia cymosa
Trochilidae,Salvia splendens
Bombus occidentalis,Chloropyron palmatum
Apis,Fragaria chiloensis
Insecta,Rosa nutkana
Lepidoptera,Symphyotrichum cordifolium
Bees,Dicentra uniflora
Wasps,Rhus copallinum var. copallinum
Insecta,Lobelia hypoleuca
Lasioglossum,Solanum carolinense
Wasps,Sabal maritima
Wasps,Oxypolis rigidior
Bombyliidae,Sabal etonia
Lepidoptera,Kadua affinis
Coleoptera,Calochortus clavatus var. pallidus
Bees,Oxydendrum arboreum
Rhaphiomidas trochilus,Eriastrum densifolium
Bees,Campanula rotundifolia
Diptera,Prunus virginiana
Bees,Symphoricarpos orbiculatus
Syrphidae,Epipactis thunbergii
Microgaster,Neottia cordata
Birds,Lobelia niihauensis
Trochilidae,Hibiscus moscheutos ssp. moscheutos
Bombus ephippiatus,Echeandia macrocarpa
Lepidoptera,Monarda fistulosa
Diptera,Oxypolis rigidior
Bombus vosnesenskii,Chloropyron palmatum
Lepidoptera,Symphyotrichum novae-angliae
Bombus crotchii,Chloropyron maritimum ssp. maritimus
Bombus pensylvanicus,Asclepias exaltata
Wasps,Acacia brevispica
Syrphidae,Arctostaphylos glandulosa ssp. mollis
Bees,Sericocarpus rigidus
Apis,Mentha pulegium
Andrena rudbeckiae,Rudbeckia triloba
Anthophila,Liatris gracilis
Bombus griseocollis,Napaea dioica
Anthophora abrupta,Conradina verticillata
Lasioglossum,Ludwigia peploides ssp. glabrescens
Sphingidae,Silene vulgaris
Self pollinated,Cichorium intybus
Vanessa atalanta,Cirsium arvense
Ceratina calcarata,Cypripedium candidum
Bees,Gentiana alba
Hemaris,Lobelia hypoleuca
Bees,Heteromeles arbutifolia
Diptera,Bidens cosmoides
Diptera,Rubus odoratus
Lepidoptera,Prunus virginiana
Bees,Abronia umbellata
Bees,Myosotis asiatica
Bombus pascuorum,Salvia splendens
Apis,Nigella sativa
Bombus,Ajuga reptans
Bees,Sedum spathulifolium
Bombus,Campsis radicans
Wasps,Helianthus hirsutus
Bombus appositus,Corydalis caseana
Insecta,Agave schottii
Bees,Scaevola gaudichaudiana
Osmia lignaria,Pyrus malus
Wasps,Rudbeckia laciniata
Trochilidae,Castilleja rhexiifolia
Lepidoptera,Stanleya pinnata
Bees,Rosa virginiana
Diptera,Berteroa incana
Sphingidae,Peniocereus greggii var. transmontanus
Xylocopa appendiculata circumvolans,Erythronium albidum
Bees,Jacquemontia ovalifolia
Lepidoptera,Sambucus racemosa
Wasps,Erigeron maguirei
Apis,Abutilon indicum
Bees,Zigadenus venenosus
Lepidoptera,Oenothera speciosa
Lepidoptera,Penstemon rydbergii
Bees,Asclepias sullivantii
Megachile,Opuntia polyacantha
Bees,Agastache rupestris
Bees,Thysanocarpus laciniatus
Diptera,Antidesma platyphyllum
Bees,Zizia aurea
Lepidoptera,Sphaeralcea grossulariifolia
Insecta,Purshia tridentata
Insecta,Tamarix chinensis
Apis,Tagetes erecta
Syrphidae,Crataegus monogyna
Self pollinated,Lepidium meyenii
Lepidoptera,Helianthus atrorubens
Bombus lapidarius,Limonium vulgare
Self pollinated,Castilleja campestris
Lepidoptera,Sidalcea malviflora
Anthophoridae,Asclepias meadii
Bees,Helianthus gracilentus
Coleoptera,Lupinus perennis
Syrphidae,Parnassia palustris
Diptera,Veratrum californicum var. californicum
Lepidoptera,Vaccinium crassifolium
Lepidoptera,Eutrochium fistulosum
Lepidoptera,Prunus ilicifolia
Bombus pensylvanicus,Asclepias syriaca
Thricops spiniger,Geum peckii
Lasioglossum cressonii,Isotria verticillata
Megachile cincta,Desmodium setigerum
Melissodes tepida,Chloropyron maritimum ssp. maritimus
Lepidoptera,Rudbeckia triloba
Megachile mendica,Desmodium paniculatum
Lasioglossum sisymbrii,Arctomecon humilis
Halictus tripartitus,Limnanthes vinculans
Bombus,Astragalus barrii
Lepidoptera,Penstemon procerus
Lepidoptera,Stachys pycnantha
Lepidoptera,Penstemon smalli
Lepidoptera,Mentzelia nuda
Insecta,Lobelia dortmanna
Diptera,Symphyotrichum novae-angliae
Bees,Lepidium draba
Hadena,Dianthus sylvestris
Bees,Scaevola taccada
Bombus,Trifolium repens
Bees,Helenium pinnatifidum
Bombus appositus,Delphinium barbeyi
Bombus,Calypso bulbosa
Pieris rapae,Raphanus raphanistrum
Bees,Gardenia brighamii
Bombus,Macbridea alba
Diptera,Ericameria nauseosa
Papilio,Hemerocallis fulva
Bees,Myrsine sandwicensis
Bombus sonorus,Trichostema lanceolatum
Eurema daira,Cnidoscolus urens
Coleoptera,Cornus drummondii
Lepidoptera,Actaea racemosa
Wasps,Eurybia macrophylla
Eristalis rupium,Galearis rotundifolia
Diptera,Antidesma pulvinatum
Self pollinated,Oreoxis alpina
Bees,Verbena lasiostachys
Apioceridae,Portulaca sclerocarpa
