Megachile albitarsis,Sabal etonia
Coleoptera,Solidago sempervirens ssp. mexicana
Lepidoptera,Rhododendron occidentale
Lepidoptera,Solidago curtisii
Culicidae,Clematis ligusticifolia
Megachile brevis,Marrubium vulgare
Bees,Prunus ilicifolia
Himatione sanguinea,Stenogyne kanehoana
Bees,Fagopyrum esculentum
Anthophoridae,Aliciella penstemonoides
Bees,Mertensia virginica
Lepidoptera,Pittosporum glabrum
Bombyliidae,Pogogyne nudiuscula
Trochilidae,Rhododendron calendulaceum
Lasioglossum pruinosiforme,Opuntia macrocentra
Muscidae,Eriogonum ovalifolium var. vineum
Diadasia,Salvia mellifera
Bees,Helianthus maximiliani
Bees,Physaria congesta
Bees,Allium canadense
Apis,Arctostaphylos pringlei
Diptera,Rorippa nasturtium-aquatium
Wasps,Acacia etbaica
Lepidoptera,Hymenoxys hoopesii
Diptera,Silene virginica
Thick-headed flies,Verbena hastata
Diptera,Nestegis sandwicensis
Lasioglossum hyalinum,Arctomecon humilis
Bembix rugosa,Pholisma sonorae
Apis,Impatiens capensis
Hymenoptera,Ludwigia elegans
Diptera,Malacothamnus fasciculatus
Wasps,Corallorhiza striata
Lepidoptera,Gardenia brighamii
Lepidoptera,Rhus copallinum var. copallinum
Lepidoptera,Solidago roanensis
Self pollinated,Corydalis flavula
Diptera,Adenostoma fasciculatum
Habropoda laboriosa,Pyxidanthera barbulata
Syrphidae,Minuartia uniflora
Bees,Scaevola chamissoniana
Coleoptera,Ceanothus americanus
Strymon titus,Asclepias uncialis
Apis,Raphanus sativus
Autographa gamma,Saponaria officinalis
Bombus vosnesenskii,Goodyera oblongifolia
Halictidae,Solanum lycopersicum
Apis mellifera,Lippia graveolens
Self pollinated,Hesperis matronalis
Self pollinated,Rorippa nasturtium-aquatium
Coleoptera,Silphium integrifolium
Bees,Ranunculus alismifolius
Trochilidae,Mertensia virginica
Insecta,Lewisia rediviva
Bees,Gypsophila paniculata
Bees,Claoxylon sandwicense
Bees,Rubus odoratus
Melissodes intorta,Callirhoe scabriuscula
Lepidoptera,Malacothamnus fasciculatus
Diadasia ochracea,Kallstroemia grandiflora
Coleoptera,Paeonia californica
Crambidae,Callirhoe involucrata
Bombus variabilis,Cirsium pumilum var. hillii
Bombyliidae,Tiarella cordifolia
Bees,Brassica napus
Trochilidae,Ipomopsis aggregata
Andrena nigrocaerulea,Hackelia venusta
Apis,Nepeta cataria
Bombus terrestris,Solanum lycopersicum
Lepidoptera,Phlox divaricata
Hymenoptera,Lonicera alpigena
Osmia ednae,Ipomopsis globularis
Diptera,Toxicodendron rydbergii
Hoplitis simplex,Physaria filiformis
Agapostemon,Opuntia polyacantha
Lepidoptera,Chamaebatiaria millefolium
Prionyx atratus,Asclepias verticillata
Diptera,Crataegus crus-galli
Xylocopa calens,Desmodium setigerum
Bombus lapidarius,Centaurea scabiosa
Coleoptera,Rosa nutkana
Hymenoptera,Parnassia palustris
Strymon melinus,Platanthera blephariglottis
Bees,Acacia etbaica
Muscidae,Ailanthus altissima
Halictidae,Tetraneuris acaulis
Trochilidae,Aquilegia coerulea
Lepidoptera,Hydrolea ovata
Augochloropsis,Sabal mauritiiformis
Coleoptera,Ceanothus crassifolius
Bombus kashmirensis,Swertia przewalskii
Lepidoptera,Psychotria mauiensis
Coleoptera,Calochortus eurycarpus
Coleoptera,Wyethia helianthoides
Hesperia,Heterotheca subaxillaris
Bees,Clematis virginiana
Lepidoptera,Asclepias californica
Bees,Lespedeza hirta
Bees,Lycium andersonii
Hymenoptera,Townsendia aprica
Lepidoptera,Helianthus mollis
Lepidoptera,Coreopsis tinctoria
Bees,Erigeron speciosus
Bees,Nemophila menziesii
Wind,Scirpus atrovirens
Apioceridae,Portulaca molokiniensis
Apis,Delphinium nuttallianum
Hyles lineata,Cnidoscolus texanus
Hesperiidae,Ludwigia peploides ssp. glabrescens
Bees,Santalum freycinetianum
Bees,Physalis hispida
Apis,Robinia pseudoacacia
Apis mellifera,Spiranthes diluvialis
Diptera,Comandra umbellata
Diptera,Leptecophylla tameiameiae
Diptera,Dasylirion wheeleri
Diptera,Osteomeles anthyllidifolia
Bombus impatiens,Pontederia cordata
Coleoptera,Symphyotrichum cordifolium
Syrphidae,Ailanthus altissima
Bees,Mentzelia nuda
Lepidoptera,Tilia americana
Halictidae,Heterotheca subaxillaris
Anthophila,Malva moschata
Syrphidae,Apocynum androsaemifolium
Bees,Penstemon payettensis
Bees,Malacothamnus fasciculatus
Bees,Dicentra eximia
Sphinx chersis,Mirabilis multiflora
Insecta,Arnica mollis
Lepidoptera,Tagetes erecta
Bombus,Oxalis montana
Bees,Lobelia hypoleuca
Bees,Cornus glabrata
Augochloropsis,Heterotheca subaxillaris
Bees,Glandularia canadensis
Conophorus cristatus,Lasthenia burkei
Diptera,Hackelia cronquistii
Diptera,Artemisia tridentata
Bombus flavifrons,Helianthella quinquenervis
Halictus tripartitus,Chloropyron palmatum
Bees,Symphyotrichum undulatum
Diptera,Asimina parviflora
Campsomeris plumipes fossulana,Pyxidanthera barbulata
Hesperiidae,Rudbeckia laciniata
Bombus,Perovskia atriplicifolia
Coleoptera,Silene acaulis
Junonia coenia,Echinacea angustifolia
Bees,Mentha arvensis
Bees,Rhododendron macrophyllum
Culicidae,Parnassia palustris
Bees,Erigeron maguirei
Catharosia nebulosa,Pyxidanthera barbulata
Bees,Cirsium occidentale var. californicum
Diptera,Ilex verticillata
Cicadellidae,Malva moschata
Diptera,Rhamnus cathartica
Diptera,Helianthus gracilentus
Xylocopa senior,Desmodium setigerum
Osmia dolerosa,Astragalus agnicidus
Erinnyis obscura,Abronia macrocarpa
Bees,Pittosporum glabrum
Wind,Abies fraseri
Mordella octopunctata,Magnolia ashei
Hadena,Silene flos-cuculi
Apis,Apocynum androsaemifolium
Bees,Penstemon pallidus
Diptera,Acacia brevispica
Bees,Artemisia tridentata
Bees,Phlox divaricata ssp. divaricata
Bees,Physocarpus opulifolius
Apis,Liatris aspera
Self pollinated,Solanum lycopersicum
Diptera,Rhus integrifolia
Coleoptera,Mimulus lewisii
Bees,Halesia carolina
Wind,Asplenium scolopendrium
Andrena erythronii,Erythronium albidum
Diptera,Eriogonum brandegeei
Osmia sculleni,Astragalus humillimus
Danaus plexippus,Berberis nevinii
Lepidoptera,Gossypium tomentosum
Ochlodes,Dianthus deltoides
Bombus,Ludwigia suffruticosa
Wasps,Galactia smallii
Bees,Aliciella subnuda
Bees,Fritillaria agrestis
Andrena,Parnassia glauca
Languriidae,Argemone pleiacantha
Bees,Ilex vomitoria
Bees,Uvularia grandiflora
Bees,Cornus amomum
Birds,Limonium gerberi
Bees,Smilax melastomifolia
Thrips,Lantana camara
Bees,Bistorta bistortoides
Coleoptera,Cornus rugosa
Trochilidae,Ipomoea quamoclit
Bombus vagans,Goodyera oblongifolia
Lasioglossum,Ferocactus wislizeni
Eumenidae,Lobularia maritima
Apis mellifera,Asclepias meadii
Diptera,Polygala lewtonii
Insecta,Geum triflorum
Bees,Berteroa incana
Bombus,Kalmia polifolia
Bees,Cirsium ownbeyi
Lepidoptera,Mertensia virginica
Bees,Lathyrus vestitus var. vestitus
Lepidoptera,Rhus copallinum
Bees,Hackelia cronquistii
Trochilidae,Dudleya palmeri
Bombus pensylvanicus,Asclepias uncialis
Wasps,Eriogonum kennedyi
Megachile,Hedysarum boreale
Diptera,Geum rivale
Wind,Koanophyllon palmeri
Bombus,Oxytropis campestris
Bees,Sisyrinchium bellum
Bombus pascuorum,Trifolium pratense
Trochilidae,Ipomoea hederifolia
Syrphidae,Calystegia sepium
Bombus,Trifolium dasyphyllum
Trochilidae,Pritchardia thurstonii
Coleoptera,Solidago speciosa
Coleoptera,Cornus glabrata
Bees,Gentiana andrewsii
Trochilidae,Pedicularis procera
Apis mellifera,Pogogyne abramsii
Lepidoptera,Cornus florida
Bombus,Gaylussacia baccata
Diptera,Coreopsis tinctoria
Lepidoptera,Frankenia salina
Bombus griseocollis,Asclepias hirtella
Lasioglossum,Desmodium setigerum
Self pollinated,Asplenium scolopendrium
Lepidoptera,Physocarpus opulifolius
Bombus,Senecio amplectens var. amplectens
Coleoptera,Helianthus mollis
Bees,Sisyrinchium montanum
Ashmeadiella,Ferocactus cylindraceus
Lasioglossum,Fritillaria gentneri
Chrysanthrax cypris,Jacquemontia reclinata
Pieridae,Polygala lewtonii
Bees,Cheirodendron trigynum
Satyrium liparops,Platanthera ciliaris
Apis mellifera,Goetzea elegans
Coccinellidae,Nototrichium sandwicense
Lepidoptera,Penstemon palmeri
Colletidae,Echinodorus grandiflorus
Bees,Chrysogonum virginianum var. australe
Halictidae,Acmispon dendroideus var. traskiae
Self pollinated,Geranium molle
Melissodes,Opuntia polyacantha
Culicidae,Malaxis unifolia
Bees,Pittosporum hosmeri
Bees,Dalea purpurea
Osmia rufa,Pyrus malus
Bombus,Onopordum acanthium
Bees,Castilleja exserta
Bees,Wikstroemia sandwicensis
Lepidoptera,Clarkia unguiculata
Ptilothrix bombiformis,Hibiscus lasiocarpus
Bombus,Physostegia correllii
Insecta,Lobelia villosa
Bees,Asclepias tuberosa
Lepidoptera,Pisonia umbellifera
Wasps,Pyxidanthera barbulata
Diptera,Cornus rugosa
Self pollinated,Betula glandulosa
Triepeolus,Rudbeckia triloba
Noctuidae,Abronia umbellata var. breviflora
Megachile,Desmodium setigerum
Apis,Symphoricarpos albus
Lasioglossum,Pyrus malus
Insecta,Fallugia paradoxa
Diptera,Chrysogonum virginianum var. australe
Insecta,Frankenia salina
Bees,Ilex decidua
Trochilidae,Ribes speciosum
Ategumia ebulealis,Ageratina aromatica
Scarabaeidae,Peniocereus striatus
Lepidoptera,Penstemon pallidus
Colletes albescens,Dalea purpurea
Diptera,Dudleya virens
Apis florea,Sesbania sesban
Bees,Sassafras albidum
Bombus griseocollis,Physaria filiformis
Self pollinated,Noccaea fendleri ssp. glauca
Halictidae,Jepsonia parryi
Apis mellifera,Apios americana
Bees,Asarum canadense
Bees,Phlox divaricata
Bombus,Primula fassettii
Bees,Galax urceolata
Birds,Bidens cosmoides
Lepidoptera,Hydrangea arborescens
Lepidoptera,Coprosma pubens
Halictidae,Linnaea borealis
Bees,Callicarpa americana
Insecta,Geranium viscosissimum
Sphingidae,Brighamia insignis
Bombus griseocollis,Asclepias verticillata
Bombus nevadensis,Oxytropis campestris var. chartacea
Coleoptera,Opuntia humifusa
Bees,Prunus pensylvanica
Chauliognathus pennsylvanicus,Euphorbia esula
Bees,Aptenia cordifolia
Andrenidae,Gaylussacia baccata
Bees,Asclepias hirtella
Bombyliidae,Bidens torta
Diptera,Pittosporum glabrum
Megachile,Cichorium intybus
Lepidoptera,Asimina triloba
Bombus,Hesperis matronalis
Lepidoptera,Manfreda sileri
Diptera,Magnolia grandiflora
Anthophora,Solidago altissima
Bees,Passiflora incarnata
Trochilidae,Illicium floridanum
Halictus tripartitus,Kallstroemia grandiflora
Bees,Spiranthes delitescens
Bees,Eutrochium maculatum
Melissodes thelypodii thelypodii,Kallstroemia grandiflora
Apis,Cirsium arvense
Ichneumonidae,Lobularia maritima
Sphex pennsylvanicus,Asclepias incarnata
Diptera,Hymenoxys hoopesii
Coelioxys,Rudbeckia triloba
Andrenidae,Physaria obcordata
Lepidoptera,Argemone pleiacantha
Bees,Rosa carolina
Diptera,Viburnum nudum
Insecta,Lupinus argenteus
Diptera,Sambucus nigra ssp. canadensis
Lepidoptera,Itea virginica
Lepidoptera,Eupatorium cannabinum
Wasps,Drymocallis glandulosa var. glandulosa
Bees,Delphinium parryi
Bees,Doellingeria umbellata
Andrenidae,Physaria filiformis
Diptera,Iris pseudacoris
Trochilidae,Silene virginica
Lepidoptera,Ceanothus crassifolius
Diptera,Ilex glabra
Megachilidae,Penstemon degeneri
Bees,Pseudophoenix sargentii
Bees,Manfreda brachystacha
Halictus,Capsicum frutescens
Lepidoptera,Dasylirion wheeleri
Bombus,Impatiens capensis
Wasps,Monarda fistulosa
Bees,Philadelphus lewisii
Andrena submoesta,Lasthenia burkei
Bees,Aruncus dioicus var. dioicus
Lepidoptera,Verbena stricta
Lepidoptera,Glandularia canadensis
Lepidoptera,Encelia farinosa
Megachile centuncularis,Cypripedium parviflorum var. parviflorum
Xylocopa,Sesbania sesban
Diptera,Ceanothus americanus
Wind,Corylus cornuta
Hymenoptera,Comandra umbellata
Coleoptera,Leptosiphon parviflorus
Diptera,Brickellia californica
Diptera,Zizia aurea
Lepidoptera,Penstemon canescens
Wasps,Asclepias syriaca
Wasps,Penstemon degeneri
Diptera,Fallugia paradoxa
Bombus terrestris,Polygonatum odoratum
Bees,Podophyllum peltatum
Osmia,Delphinium nuttallianum
Bees,Pisonia sandwicensis
Apis mellifera,Sabal etonia
Coleoptera,Linum berlandieri
Bees,Sesbania tomentosa
Bombus,Aesculus pavia
Apidae,Goetzea elegans
Lepidoptera,Coreopsis pubescens
Leptoconops californiensis,Pholisma sonorae
Lasioglossum,Eucephalus vialis
Bees,Cercis canadensis
Bombus,Aliciella penstemonoides
Diptera,Nolina brittoniana
Trochilidae,Penstemon virgatus
Lepidoptera,Scaevola chamissoniana
Bees,Agave parryi
Bombus,Delphinium bakeri
Diptera,Cornus alternifolia
Lepidoptera,Rhododendron minus var. minus
Bees,Nyssa sylvatica
Diptera,Cornus amomum
Calliphoridae,Ailanthus altissima
Sphingidae,Abronia umbellata var. breviflora
Bombus,Lupinus argenteus
Tetralonia,Lonicera japonica
Megachile centuncularis,Cypripedium reginae
Self pollinated,Nasturtium officinale
Bees,Primula cusickiana
Bees,Helenium campestre
Diptera,Tilia americana
Bees,Peritoma serrulata
Lycaena arota,Hymenoxys richardsonii
Lepidoptera,Rhododendron alabamense
Lepidoptera,Vitex rotundifolia
Diptera,Corallorhiza maculata
Trochilidae,Penstemon smalli
Bombus,Erythronium grandiflorum ssp. grandiflorum
Apis mellifera,Alectryon ramiflorus
Bees,Anemone americana
Diptera,Lavandula latifolia
Bees,Mentha X piperita
Lepidoptera,Pityopsis graminifolia
Bombus huntii,Sphaeralcea coccinea
Ceratina nanula,Townsendia aprica
Diptera,Arnica mollis
Geron,Polygala lewtonii
Bees,Bidens hawaiensis
Anthidium palmarum,Callirhoe involucrata
Lepidoptera,Silphium integrifolium
Bombus sitkensis,Astragalus agnicidus
Apis,Stokesia laevis
Cercyonis pegala,Lythrum salicaria
Diptera,Androsace septentrionalis
Coleoptera,Asclepias eriocarpa
Insecta,Ericameria nauseosa
Lepidoptera,Peritoma serrulata
Coleoptera,Rhus integrifolia
Coleoptera,Viola pedata
Trochilidae,Castilleja linariifolia
Prodoxidae,Yucca filamentosa
Halictus rubicundus,Ipomopsis globularis
Bees,Portulaca villosa
Birds,Claoxylon sandwicense
Bees,Styrax redivivus
Tachinidae,Achillea millefolium
Osmia,Penstemon harringtonii
Bees,Sabal minor
Hymenoptera,Delphinium nuttallianum
Bees,Euphorbia celastroides var. kaenana
Wasps,Argemone pleiacantha
Danaus plexippus,Liatris aspera
Lepidoptera,Liatris spicata var. spicata
Epargyreus clarus,Asclepias exaltata
Bees,Nasturtium officinale
Trochilidae,Scrophularia californica
Thymelicus lineola,Malva moschata
Anthophorula torticornis,Pogogyne abramsii
Lepidoptera,Robinia pseudoacacia
Bees,Rosa nutkana
Trochilidae,Pedicularis densiflora
Bombus,Nepeta cataria
Self pollinated,Mollugo verticillata
Apis mellifera,Blennosperma bakeri
Wasps,Nolina microcarpa
Bees,Liatris spicata
Coleoptera,Viburnum rufidulum
Glutophrissa drusilla,Melanthera nivea
Bees,Cornus nuttallii
Bees,Rubus hawaiensis
Trochilidae,Symphoricarpos albus
Bees,Nesoluma polynesicum
Syrphidae,Blennosperma bakeri
Agapostemon,Oxytropis lambertii
Insecta,Gnaphalium uliginosum
Bees,Abutilon eremitopetalum
Lepidoptera,Sedum lanceolatum
Self pollinated,Cirsium vulgare
Archilochus alexandri,Eriastrum densifolium
Pieris,Echinacea angustifolia
Trochilidae,Aquilegia elegantula
Apis mellifera,Argemone pleiacantha
Bees,Agastache pallidiflora
Hylemya aestiva,Geum radiatum
Trigona,Impatiens cuspidata
Calypte anna,Mimulus cardinalis
Eucera fulvitarsis,Townsendia aprica
Bees,Mertensia brevistyla
Halictidae,Fritillaria gentneri
Apis,Rhus sandwicensis
Apis,Capsicum frutescens
Bombus flavifrons,Delphinium barbeyi
Jurinia,Pyxidanthera brevifolia
Self pollinated,Convallaria majalis
Bees,Sphaeralcea grossulariifolia
Hylaeus,Capsicum frutescens
Coleoptera,Eriogonum fasciculatum var. polifolium
Anthophila,Liatris tenuifolia
Bombus griseocollis,Hydrophyllum canadense
Bees,Amorpha californica
Bees,Convolvulus arvensis
Self pollinated,Ageratina adenophora
Lasioglossum quebecense,Triphora trianthophoros
Sphingidae,Aliciella haydenii
Wind,Artemisia tridentata
Bombus,Cucurbita pepo
Halictidae,Iliamna remota
Bees,Symphyotrichum puniceum var. scabricaule
Apis,Asparagus officinalis
Bombus terrestris,Anagallis arvensis
Diptera,Ilex ambigua
Lepidoptera,Sapindus oahuensis
Hymenoptera,Verbena hastata
Oxycopis thoracica,Magnolia virginiana
Lepidoptera,Polyscias sandwicensis
Halictidae,Campanula americana
Manduca quinquemaculata,Mirabilis longiflora
Colletes mandibularis,Heterotheca subaxillaris
Coleoptera,Argemone aurantiaca
Insecta,Agave parviflora
Lepidoptera,Viburnum nudum var. cassinoides
Toxomerus geminatus,Erigeron decumbens
Hyles lineata,Mirabilis multiflora
Trochilidae,Agave parryi
Papilio,Vernonia baldwinii
Bees,Waltheria indica
Trochilidae,Castilleja applegatei
Bees,Ocimum basilicum
Andrena nasonii,Isotria verticillata
Lepidoptera,Asclepias speciosa
Bombus mixtus,Oxytropis campestris var. chartacea
Lasioglossum,Lasthenia burkei
Apis,Minuartia uniflora
Lepidoptera,Senecio bigelovii var. bigelovii
Self pollinated,Ageratum houstonianum
Lepidoptera,Balsamorhiza sagittata
Bees,Rorippa nasturtium-aquatium
Self pollinated,Cynoglossum officinale
Bees,Caulanthus coulteri
Wasps,Metrosideros polymorpha
Lepidoptera,Rumex giganteus
Lepidoptera,Rhododendron maximum
Lepidoptera,Ribes curvatum
Bees,Ceanothus oliganthus
Diptera,Eremogone congesta var. congesta
Bees,Prosopis glandulosa var. torreyana
Coleoptera,Viburnum acerifolium
Diptera,Rumex skottsbergii
Anthophoridae,Brodiaea filifolia
Lepidoptera,Chamaedaphne calyculata
Bees,Ericameria linearifolia
Bombus,Argemone hispida
Macroglossum stellatarum,Dianthus sylvestris
Diptera,Allium haematochiton
Lepidoptera,Clarkia cylindrica
Diptera,Arisaema triphyllum
Diptera,Sanguinaria canadensis
Trochilidae,Penstemon barbatus
Wind,Prunus virginiana
Trochilidae,Lobelia siphilitica
Wasps,Linnaea borealis
Chrysotus costalis,Geum radiatum
Megachile,Aliciella penstemonoides
Coleoptera,Ceanothus thyrsiflorus
Heliomaster furcifer,Canna indica
Lepidoptera,Rosa nutkana
Halictidae,Vaccinium macrocarpon
Bees,Acacia koa
Lasioglossum,Napaea dioica
Diptera,Helianthus mollis
Xylocopa,Lathyrus latifolius
Syrphidae,Foeniculum vulgare
Megachilidae,Brassica napus
Hymenoptera,Salvia splendens
Bombus ashtoni,Cypripedium acaule
Bees,Penstemon laetus
Bees,Mentzelia oligosperma
Diptera,Coreopsis grandiflora
Bees,Dalea foliosa
Lepidoptera,Oenothera californica
Lepidoptera,Rudbeckia hirta
Bees,Acer saccharinum
Wind,Tilia americana
Svastra duplocincta,Ferocactus cylindraceus
Bees,Portulaca sclerocarpa
Lasioglossum pilosum,Cypripedium candidum
Macropis fulvipes,Lysimachia punctata
Bees,Linum lewisii
Papilio eurymedon,Lilium pardalinum
Diptera,Bidens hawaiensis
Anthophora,Eriastrum densifolium
Trochilidae,Castilleja angustifolia var. dubia
Melissodes,Amaranthus palmeri
Lasioglossum olympiae,Potentilla gracilis
Bombus,Primula meadia
Birds,Abutilon eremitopetalum
Apis,Plantago lanceolata
Syrphidae,Raphanus sativus
Self pollinated,Verbena hastata
Sphex pennsylvanicus,Asclepias verticillata
Lepidoptera,Diervilla lonicera
Bees,Lonicera involucrata
Bombyliidae,Linnaea borealis
Insecta,Lipochaeta lobata
Diptera,Gelsemium rankinii
Diptera,Spiranthes delitescens
Diptera,Pittosporum confertiflorum
Insecta,Eriogonum umbellatum
Anthophoridae,Purshia X subintegra
Coleoptera,Asclepias incarnata
Bees,Spiranthes parksii
Lepidoptera,Mentha X piperita
Bees,Berberis nervosa
Wasps,Freycinetia arborea
Bombus mixtus,Astragalus agnicidus
Lepidoptera,Ribes quercetorum
Insecta,Tilia americana
Apis,Securigera varia
Diptera,Cylindropuntia whipplei
Cantharidae,Toxicodendron rydbergii
Sphingidae,Catalpa speciosa
Empididae,Shepherdia canadensis
Lepidoptera,Helenium puberulum
Self pollinated,Arnica cordifolia
Self pollinated,Synthyris bullii
Coleoptera,Eriogonum heracleoides
Bees,Celastrus scandens
Trochilidae,Penstemon procerus
Diptera,Purshia mexicana
Stellula calliope,Delphinium barbeyi
Eristalis,Foeniculum vulgare
Insecta,Castilleja applegatei
Diadasia diminuta,Kallstroemia grandiflora
Lepidoptera,Desmanthus illinoensis
Bees,Stewartia malacodendron
Lycaena,Lobularia maritima
Bees,Vigna marina
Andrenidae,Rudbeckia triloba
Sphingidae,Oenothera harringtonii
Lepidoptera,Rosa woodsii
Sphingidae,Silene latifolia
Diptera,Dasiphora fruticosa
Bees,Mentzelia multiflora
Lepidoptera,Phlox paniculata
Andrena erythronii,Erythronium japonicum
Habropoda laboriosa,Vaccinium corymbosum
Colletidae,Cypripedium montanum
Bees,Coreopsis grandiflora
Halictus,Ferocactus wislizeni
Apis,Peniocereus greggii
Trochilidae,Spigelia marilandica
Diptera,Gypsophila paniculata
Bees,Delphinium cardinale
Anthophila,Eutrochium purpureum
Bees,Corydalis aurea
Wind,Ambrosia cheiranthifolia
Bees,Portulaca lutea
Bees,Arctostaphylos glandulosa
Bees,Frasera speciosa
Self pollinated,Carduus nutans
Megachilidae,Lythrum salicaria
Apis mellifera,Asclepias uncialis
Perdita texana texana,Callirhoe involucrata
Diptera,Acacia koa
Trochilidae,Erythrina pallida
Apis mellifera,Limnanthes vinculans
Hymenoptera,Jacquemontia reclinata
Lepidoptera,Agastache pallidiflora
Apis,Spiraea japonica
Bees,Triteleia laxa
Protosmia rubifloris,Hackelia venusta
Euphydryas editha,Lasthenia californica
Hymenoptera,Lupinus oreganus
Bombus terrestris,Erodium cicutarium
Megachile,Ferocactus cylindraceus
Coleoptera,Calycanthus floridus
Wasps,Ludwigia suffruticosa
Bees,Solidago roanensis
Chrysomya megacephala,Impatiens trichocarpa
Diptera,Phytolacca sandwicensis
Bees,Vaccinium stamineum
Trochilidae,Fritillaria gentneri
Bees,Chelone glabra
Lepidoptera,Layia glandulosa
Bees,Oxalis cornuta
Bombus nevadensis,Galearis spectabilis
Agapostemon texanus,Callirhoe involucrata
Bees,Melilotus albus
Hemaris thysbe,Platanthera blephariglottis
Diptera,Callirhoe involucrata
Bombus,Rudbeckia triloba
Syrphidae,Shepherdia canadensis
Wasps,Ptilimnium capillaceum
Lepidoptera,Penstemon speciosus
Hymenoptera,Dudleya greenei
Halictidae,Eriastrum densifolium
Lepidoptera,Rhododendron arborescens
Insecta,Gaillardia pulchella
Hymenoptera,Ephedra aphylla
Lepidoptera,Cirsium occidentale var. californicum
Bees,Aesculus flava
Wasps,Rubus odoratus
Lepidoptera,Epilobium canum
Bees,Amelanchier utahensis
Melissodes,Lygodesmia juncea
Coleoptera,Lobularia maritima
Nemotelus,Callirhoe involucrata
Hymenoptera,Lindera melissifolia
Syrphidae,Sisyrinchium vaginatum
Coleoptera,Ranunculus acriformis var. aestivalis
Megachile pascoensis,Clarkia xantiana
Bees,Lycium barbarum
Anthophora,Hydrophyllum canadense
Bees,Astragalus purshii
Lepidoptera,Verbena hastata
Perdita boltoniae,Boltonia asteroides
Bees,Viola nuttallii
Trochilidae,Penstemon canescens
Bees,Baccharis pilularis
Bombus impatiens,Dicerandra frutescens var. immaculata
Diptera,Sonchus arvensis
Thricops hirtulus,Geum peckii
Apis,Pyrus malus
Bees,Acanthomintha duttonii
Bombyliidae,Cardamine concatenata
Trochilidae,Clethra alnifolia
Augochloropsis metallica,Sabal etonia
Gibbobruchus mimus,Magnolia tripetala
Apis,Peniocereus greggii var. transmontanus
Trochilidae,Arbutus menziesii
Anthophora,Corydalis cava
Megachile,Liatris aspera
Diptera,Dudleya abramsii
Bees,Rhexia alifanus
Bees,Argemone aurantiaca
Bees,Acer macrophyllum
Bees,Euonymus americanus
Syrphidae,Sagittaria trifolia
Bombus,Capsicum frutescens
Lepidoptera,Platanthera blephariglottis
Coleoptera,Coreopsis pubescens
Sephanoides sephanoides,Tropaeolum tricolor
Bees,Calochortus eurycarpus
Insecta,Stanleya pinnata
Halictidae,Minuartia glabra
Lepidoptera,Lilium superbum
Diadasia megamorpha,Kallstroemia grandiflora
Augochloropsis metallica,Solanum carolinense
Syrphidae,Lasthenia burkei
Diptera,Asclepias tuberosa
Bombus lapidarius,Silene acaulis
Trochilidae,Philadelphus pubescens
Bees,Helianthus annuus
Apis,Perovskia atriplicifolia
Trochilidae,Monarda punctata var. punctata
Bees,Boltonia caroliniana
Bees,Heliotropium curassavicum
Bees,Sambucus nigra ssp. canadensis
Wind,Coprosma ernodeoides
Coleoptera,Magnolia acuminata
Bees,Lobelia siphilitica
Self pollinated,Vicia faba
Bombus vagans,Cypripedium acaule
Bees,Epilobium canum
Halictidae,Agave X arizonica
Bees,Iris virginica
Pachlioptera aristolochiae,Impatiens trichocarpa
Diptera,Actaea pachypoda
Bees,Clermontia hawaiiensis
Coleoptera,Ruellia humilis
Diptera,Dudleya nesiotica
Bombus affinis,Asclepias hirtella
Bees,Encelia farinosa
Melanagromyza,Nigella sativa
Apis mellifera,Asclepias welshii
Diptera,Ceanothus thyrsiflorus
Bees,Lupinus argenteus
Apidae,Pogogyne nudiuscula
Apis,Arctostaphylos glandulosa ssp. mollis
Lepidoptera,Symphoricarpos albus
Lepidoptera,Monolopia lanceolata
Bombus,Aconitum henryi
Nomada sayi,Isotria verticillata
Bees,Oxytropis sericea
Bees,Cornus florida
Bees,Geranium sylvaticum
Lepidoptera,Lycium barbarum
Diptera,Gaillardia pulchella
Trochilidae,Geranium viscosissimum
Wasps,Conyza canadensis
Toxophora,Clinopodium ashei
Calliphora,Physaria filiformis
Bees,Ipomopsis aggregata
Insecta,Comandra umbellata
Insecta,Penstemon rydbergii
Bees,Acanthomintha obovata ssp. cordata
Lepidoptera,Calochortus splendens
Lepidoptera,Lespedeza hirta
Bees,Wyethia helianthoides
Diptera,Senecio bigelovii var. bigelovii
Halictus confusus,Cypripedium candidum
Bees,Mimulus lewisii
Bees,Aesculus pavia
Halictidae,Rudbeckia auriculata
Apis,Potentilla recta
Archilochus colubris,Silene regia
Diptera,Scaevola kilaueae
Lepidoptera,Taraxacum officinale
Bombus,Robinia pseudoacacia
Diptera,Diospyros sandwicensis
Bees,Stanleya pinnata
Bombus vosnesenskii,Astragalus agnicidus
Diptera,Mentzelia densa
Diptera,Rhus sandwicensis
Lepidoptera,Gilia capitata
Self pollinated,Physalis angulata
Andrena carlini,Erythronium albidum
Lepidoptera,Chelone lyonii
Lepidoptera,Fendlera rupicola
Coleoptera,Asclepias tuberosa
Arthromacra aenea,Magnolia virginiana
Bees,Stylisma pickeringii var. pickeringii
Pleuroprucha insulsaria,Ageratina aromatica
Bees,Stachys pycnantha
Bombus,Polemonium viscosum
Bees,Cardamine concatenata
Apis,Gilia achilleifolia
Melissodes,Rudbeckia triloba
Bombus pensylvanicus,Conradina verticillata
Bees,Lathyrus vestitus var. ochropetalus
